Crop,Provinces,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Irrigated Palay,Zambales,14810,15330,16590,16870,13090,9020,9260,11130,12160,13500,14436,14418,15956,17066,17565,15958,16691,17345,17848,18928,19050,20692,21062,20814,21140,21275,24214,24850,24949,26229,24800,25294,23603,28211,26347,23928.66
Irrigated Palay,Batangas,11660,14010,15300,18680,18210,18950,14970,13340,13518,13620,14342,12075,12290,13250,13244,13386,13270,12414,9955,9338,8060,9674,9305,9037,9537,9250,10141,9937,9675,9360,8114,8193,8178.56,7792.03,7947.35,8330.7
Irrigated Palay,Cavite,12570,14760,14710,13660,14820,13690,12800,13320,11522,12831,12695,11205,12715,11280,12074,11824,11848,11740,11700,9614,8930,9318,10494,10530,10615,9827,10151,10948,10808,9922,9345,9667,7457,6730.13,7171.97,5957.41
Irrigated Palay,Laguna,34060,30860,30840,26320,28980,29520,30300,27710,28141,29704,28386,36510,34409,31376,27221,23106,23288,24577,23950,23730,27500,29525,24793,27619,30176,29275,29217,30370,31143,31137,30466,27288,30336.14,27681.04,27298,28057
Irrigated Palay,Quezon,26790,29210,33850,34810,35660,36530,38200,35050,28180,25961,21756,18299,30208,29380,28319,28287,27332,27424,22991,24151,24334,24712,25293,25366,25386,25770,25773,28508,27008,28280,28767,29104,28606,30458,32855,30860
Irrigated Palay,Rizal,4930,5480,5820,7360,6770,7890,7920,7320,7425,7585,8086,7025,8055,8183,7517,7454,8311,8191,8310,7625,6687,6795,5239,6942,7397,5998,6133,6428,6460,6634,6645,6398.63,5078.2,3538.26,5162.75,5204
Irrigated Palay,Marinduque,1400,1480,1530,1170,1520,1590,1490,1610,2790,2803,3110,3325,3380,3582,3552,3494,3538,3523,3092,3409,3344,3334,3411,2622,2788,2325,2664,2420,2308,2470,3483,2669,2436,3267,2907,3104.92
Irrigated Palay,Occidental Mindoro,41620,45490,55150,36720,42310,38550,37270,34710,35193,40691,40769,33052,39261,40189,38362,39639,40783,37479,35627,36232,41582,47418,52842,54267,53802,55069,56429,56525,57142,57715,57559,59419,54594,52717,58250,57639.26
Irrigated Palay,Oriental Mindoro,28120,36050,35090,39570,57510,59010,59810,48420,49662,51782,52954,50872,51365,53247,53355,53050,56276,54674,56143,56550,57265,57946,66834,68045,76123,84432,84774,82880,85452,87289,87920,89137,88191,83844.6,85493,84657.51
Irrigated Palay,Palawan,11290,10740,9370,10120,15540,15790,16420,21730,24100,23397,25690,23667,29794,31718,31267,31606,31603,31612,30127,32314,32314,32167,34784,35906,36236,37632,39221,42431,45565,48503,53413,55802,56063,56828,60036,63293
Irrigated Palay,Romblon,1610,2250,1870,5240,4250,4340,4910,5070,5195,5698,6048,5584,5958,5883,6075,6264,6786,5985,5412,5580,4972,4738,5242,5172,5803,5708,5383,5224,5043,5049,5509,5645,5076.47,5200,5121,5291.84
Irrigated Palay,Albay,38010,47250,40070,43870,49350,48960,56280,56990,53384,52750,47970,37510,41800,37590,31703,34657,34162,35554,40380,38424,33921,34555,37494,39606,42759,43276,43979,42339,40959,41677,43788,42582,43506.65,43920,43344,43889
Irrigated Palay,Camarines Norte,12340,14810,12720,12740,15320,16660,12490,12640,11240,11930,10420,10000,12970,11730,12210,11460,11077,13526,13399,13316,12945,12752,13103,13725,13665,14839,16075,15218,14591,15024,16372,15529,14123,14773,15452,15411
Irrigated Palay,Camarines Sur,69100,86150,88020,74110,71840,63280,60790,74890,81050,80080,88600,70950,91730,93700,96040,87840,92358,107546,108772,104387,115117,109379,117132,124594,108342,115873,116625,110803,131207,136486,138713,136249,131880,123556,131044,130123
Irrigated Palay,Catanduanes,1940,3680,4430,5170,5950,4420,4070,3210,4600,5880,4540,2650,4420,3520,3740,4427,5380,3933,3682,3932,5720,5078,6589,5488,5909,4782,4992,5361,5164,6011,5635,5758,4677.6,3894.46,4188.32,3931.33
Irrigated Palay,Masbate,3170,3430,1900,3500,3320,3970,4680,3170,3110,3130,2930,3420,3500,3550,3540,3290,3297,3387,3456,4267,5900,7954,7156,8244,8736,13320,15496,15352,12456,11808,12794,12338,12289,12474,12447,10752
Irrigated Palay,Sorsogon,25780,26030,24680,28580,29840,30090,29600,27230,25320,24080,25610,20700,23640,24100,25360,24159,23801,24143,22348,19578,22770,23056,24586,24599,24198,25368,25059,25009,24924,25199,24853,24776,21356,24691,25236,24734
Irrigated Palay,Aklan,18750,20330,26450,18120,20670,20380,21740,22030,21300,20900,19021,18609,22335,21935,21557,19689,20964,22337,21194,21356,20687,19654,20988,16967,18173,18127,19460,16042,15292,16276,20080,18609,16037,19588,17306,19623.95
Irrigated Palay,Antique,20400,20130,23950,23820,31370,30660,29100,32100,33210,43001,40809,41607,45843,50125,50427,48657,36167,39584,43015,45715,46172,45700,46451,34577,47182,46114,46862,46920,47094,44423,45519,47857,48754,35093,44593,44973
Irrigated Palay,Capiz,12780,12560,14940,13870,15180,15480,15850,18370,18920,21360,18841,15509,22360,23262,22527,24176,29688,28031,28186,28626,31836,32740,33458,29562,28002,27864,25956,29105,31214,29925,31017,31933,28331,30636,31924,28892
Irrigated Palay,Guimaras,0,0,0,0,0,0,0,4440,1860,2090,3530,3218,3958,4045,4070,2675,3775,2815,3040,3350,3687,3912,4032,3392,4271,4707,3077,3665,2938,2808,3507,3317,3584,4593,4282,4632.88
Irrigated Palay,Iloilo,52460,62370,62930,53890,57440,67200,95840,96420,93900,113310,106655,79773,117662,115003,110287,123474,128026,133056,124076,142690,123197,151622,147875,107308,133752,125015,110755,117572,123687,99572,114263,112810,104996,117786,113871,115745
