Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2003","2003","tonnes","22694","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2004","2004","tonnes","21489","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2005","2005","tonnes","21783","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2006","2006","tonnes","16913","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2007","2007","tonnes","14617.64","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2008","2008","tonnes","3278.33","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2009","2009","tonnes","14810.19","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2010","2010","tonnes","20618.83","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2011","2011","tonnes","28562.35","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2012","2012","tonnes","27245.82","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2013","2013","tonnes","23460.82","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2014","2014","tonnes","28936.56","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2015","2015","tonnes","29169.24","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2016","2016","tonnes","30153.71","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2017","2017","tonnes","32607.45","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2018","2018","tonnes","30686.23","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2019","2019","tonnes","31731.2","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1309","Insecticides","2020","2020","tonnes","31731.2","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1990","1990","tonnes","24712","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1991","1991","tonnes","21213","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1992","1992","tonnes","18485","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1993","1993","tonnes","16356","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1994","1994","tonnes","13452","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1995","1995","tonnes","12272","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1996","1996","tonnes","7991","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1997","1997","tonnes","4504","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1998","1998","tonnes","3984","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","1999","1999","tonnes","3777","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2003","2003","tonnes","2655","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2004","2004","tonnes","2907","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2005","2005","tonnes","2242","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2006","2006","tonnes","4209","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2007","2007","tonnes","3639.02","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2008","2008","tonnes","2841.33","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2009","2009","tonnes","3228.4","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1310","Insecticides – Chlorinated Hydrocarbons","2010","2010","tonnes","4485.21","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1990","1990","tonnes","20947","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1991","1991","tonnes","24122","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1992","1992","tonnes","24556","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1993","1993","tonnes","24000","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1994","1994","tonnes","23664","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1995","1995","tonnes","23656","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1996","1996","tonnes","23302","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1997","1997","tonnes","23296","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1998","1998","tonnes","21099","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","1999","1999","tonnes","19788","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2003","2003","tonnes","20039","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2004","2004","tonnes","18582","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2005","2005","tonnes","19541","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2006","2006","tonnes","12704","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2007","2007","tonnes","10978.62","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2008","2008","tonnes","437","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2009","2009","tonnes","11581.79","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1311","Insecticides – Organo-phosphates","2010","2010","tonnes","16133.62","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1312","Insecticides – Carbamates","1990","1990","tonnes","4418","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1312","Insecticides – Carbamates","1991","1991","tonnes","2737","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1312","Insecticides – Carbamates","1992","1992","tonnes","2656","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1312","Insecticides – Carbamates","1993","1993","tonnes","2478","I","Imputed value"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1312","Insecticides – Carbamates","1994","1994","tonnes","2775","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1312","Insecticides – Carbamates","1995","1995","tonnes","1744","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1312","Insecticides – Carbamates","1996","1996","tonnes","1877","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1312","Insecticides – Carbamates","1997","1997","tonnes","1108","A","Official figure"
"RP","Pesticides Use","356","India","5157","Agricultural Use","1312","Insecticides – Carbamates","1998","1998","tonnes","791","A","Official figure"
